Sub_District_PK,SubDistrict,District,State
Tanuku|West Godavari|Andhra Pradesh,Tanuku,West Godavari,Andhra Pradesh
Undi|West Godavari|Andhra Pradesh,Undi,West Godavari,Andhra Pradesh
Veeravasaram|West Godavari|Andhra Pradesh,Veeravasaram,West Godavari,Andhra Pradesh
Yelamanchili|West Godavari|Andhra Pradesh,Yelamanchili,West Godavari,Andhra Pradesh
Atlur|YSR|Andhra Pradesh,Atlur,YSR,Andhra Pradesh
B Kodur|YSR|Andhra Pradesh,B Kodur,YSR,Andhra Pradesh
Badvel|YSR|Andhra Pradesh,Badvel,YSR,Andhra Pradesh
Brahmamgarimattam|YSR|Andhra Pradesh,Brahmamgarimattam,YSR,Andhra Pradesh
Chakrayapet|YSR|Andhra Pradesh,Chakrayapet,YSR,Andhra Pradesh
Chapad|YSR|Andhra Pradesh,Chapad,YSR,Andhra Pradesh
Chennur|YSR|Andhra Pradesh,Chennur,YSR,Andhra Pradesh
Chinthakommadinne|YSR|Andhra Pradesh,Chinthakommadinne,YSR,Andhra Pradesh
Duvvur|YSR|Andhra Pradesh,Duvvur,YSR,Andhra Pradesh
Gopavaram|YSR|Andhra Pradesh,Gopavaram,YSR,Andhra Pradesh
Jammalamadugu|YSR|Andhra Pradesh,Jammalamadugu,YSR,Andhra Pradesh
Kadapa|YSR|Andhra Pradesh,Kadapa,YSR,Andhra Pradesh
Kalasapadu|YSR|Andhra Pradesh,Kalasapadu,YSR,Andhra Pradesh
Kamalapuram|YSR|Andhra Pradesh,Kamalapuram,YSR,Andhra Pradesh
Khajipet|YSR|Andhra Pradesh,Khajipet,YSR,Andhra Pradesh
Kondapuram|YSR|Andhra Pradesh,Kondapuram,YSR,Andhra Pradesh
Lingala|YSR|Andhra Pradesh,Lingala,YSR,Andhra Pradesh
Muddanur|YSR|Andhra Pradesh,Muddanur,YSR,Andhra Pradesh
Mylavaram|YSR|Andhra Pradesh,Mylavaram,YSR,Andhra Pradesh
Peddamudium|YSR|Andhra Pradesh,Peddamudium,YSR,Andhra Pradesh
Pendlimarri|YSR|Andhra Pradesh,Pendlimarri,YSR,Andhra Pradesh
Porumamilla|YSR|Andhra Pradesh,Porumamilla,YSR,Andhra Pradesh
Proddatur|YSR|Andhra Pradesh,Proddatur,YSR,Andhra Pradesh
Pulivendla|YSR|Andhra Pradesh,Pulivendla,YSR,Andhra Pradesh
Rajupalem|YSR|Andhra Pradesh,Rajupalem,YSR,Andhra Pradesh
S Mydukur|YSR|Andhra Pradesh,S Mydukur,YSR,Andhra Pradesh
Sidhout|YSR|Andhra Pradesh,Sidhout,YSR,Andhra Pradesh
Simhadripuram|YSR|Andhra Pradesh,Simhadripuram,YSR,Andhra Pradesh
Sri Avadhutha Kasinayana|YSR|Andhra Pradesh,Sri Avadhutha Kasinayana,YSR,Andhra Pradesh
Thondur|YSR|Andhra Pradesh,Thondur,YSR,Andhra Pradesh
Vallur|YSR|Andhra Pradesh,Vallur,YSR,Andhra Pradesh
Veerapunayunipalle|YSR|Andhra Pradesh,Veerapunayunipalle,YSR,Andhra Pradesh
Vempalle|YSR|Andhra Pradesh,Vempalle,YSR,Andhra Pradesh
Vemula|YSR|Andhra Pradesh,Vemula,YSR,Andhra Pradesh
Vontimitta|YSR|Andhra Pradesh,Vontimitta,YSR,Andhra Pradesh
Yerraguntla|YSR|Andhra Pradesh,Yerraguntla,YSR,Andhra Pradesh
Chaglagam|Anjaw|Arunachal Pradesh,Chaglagam,Anjaw,Arunachal Pradesh
Goiliang|Anjaw|Arunachal Pradesh,Goiliang,Anjaw,Arunachal Pradesh
Hawai|Anjaw|Arunachal Pradesh,Hawai,Anjaw,Arunachal Pradesh
Hayuliang|Anjaw|Arunachal Pradesh,Hayuliang,Anjaw,Arunachal Pradesh
Kibithoo|Anjaw|Arunachal Pradesh,Kibithoo,Anjaw,Arunachal Pradesh
Manchal|Anjaw|Arunachal Pradesh,Manchal,Anjaw,Arunachal Pradesh
Metengliang|Anjaw|Arunachal Pradesh,Metengliang,Anjaw,Arunachal Pradesh
Walong|Anjaw|Arunachal Pradesh,Walong,Anjaw,Arunachal Pradesh
Bordumsa|Changlang|Arunachal Pradesh,Bordumsa,Changlang,Arunachal Pradesh
Changlang|Changlang|Arunachal Pradesh,Changlang,Changlang,Arunachal Pradesh
Diyun|Changlang|Arunachal Pradesh,Diyun,Changlang,Arunachal Pradesh
Jairampur|Changlang|Arunachal Pradesh,Jairampur,Changlang,Arunachal Pradesh
Kantang Circle|Changlang|Arunachal Pradesh,Kantang Circle,Changlang,Arunachal Pradesh
Kharsang|Changlang|Arunachal Pradesh,Kharsang,Changlang,Arunachal Pradesh
Khimiyong|Changlang|Arunachal Pradesh,Khimiyong,Changlang,Arunachal Pradesh
Lyngok Longtoi|Changlang|Arunachal Pradesh,Lyngok Longtoi,Changlang,Arunachal Pradesh
Manmao|Changlang|Arunachal Pradesh,Manmao,Changlang,Arunachal Pradesh
Miao|Changlang|Arunachal Pradesh,Miao,Changlang,Arunachal Pradesh
Nampong|Changlang|Arunachal Pradesh,Nampong,Changlang,Arunachal Pradesh
Namtok|Changlang|Arunachal Pradesh,Namtok,Changlang,Arunachal Pradesh
Renuk|Changlang|Arunachal Pradesh,Renuk,Changlang,Arunachal Pradesh
Tikhak Rima Putok|Changlang|Arunachal Pradesh,Tikhak Rima Putok,Changlang,Arunachal Pradesh
Vijoynagar|Changlang|Arunachal Pradesh,Vijoynagar,Changlang,Arunachal Pradesh
Yatdam|Changlang|Arunachal Pradesh,Yatdam,Changlang,Arunachal Pradesh
Anelih|Dibang Valley|Arunachal Pradesh,Anelih,Dibang Valley,Arunachal Pradesh
Anini|Dibang Valley|Arunachal Pradesh,Anini,Dibang Valley,Arunachal Pradesh
Dambuen Circle|Dibang Valley|Arunachal Pradesh,Dambuen Circle,Dibang Valley,Arunachal Pradesh
Etalin|Dibang Valley|Arunachal Pradesh,Etalin,Dibang Valley,Arunachal Pradesh
Kronli Arzoo Circle|Dibang Valley|Arunachal Pradesh,Kronli Arzoo Circle,Dibang Valley,Arunachal Pradesh
Mipi|Dibang Valley|Arunachal Pradesh,Mipi,Dibang Valley,Arunachal Pradesh
Bameng|East Kameng|Arunachal Pradesh,Bameng,East Kameng,Arunachal Pradesh
Bana Eac|East Kameng|Arunachal Pradesh,Bana Eac,East Kameng,Arunachal Pradesh
Chayangtajo|East Kameng|Arunachal Pradesh,Chayangtajo,East Kameng,Arunachal Pradesh
Debeyar Co Circle|East Kameng|Arunachal Pradesh,Debeyar Co Circle,East Kameng,Arunachal Pradesh
Gyawe Purang|East Kameng|Arunachal Pradesh,Gyawe Purang,East Kameng,Arunachal Pradesh
Khenewa|East Kameng|Arunachal Pradesh,Khenewa,East Kameng,Arunachal Pradesh
Lada|East Kameng|Arunachal Pradesh,Lada,East Kameng,Arunachal Pradesh
Pakoti Circle|East Kameng|Arunachal Pradesh,Pakoti Circle,East Kameng,Arunachal Pradesh
Pipu Dipu|East Kameng|Arunachal Pradesh,Pipu Dipu,East Kameng,Arunachal Pradesh
Richukrong|East Kameng|Arunachal Pradesh,Richukrong,East Kameng,Arunachal Pradesh
Sawa|East Kameng|Arunachal Pradesh,Sawa,East Kameng,Arunachal Pradesh
Seppa|East Kameng|Arunachal Pradesh,Seppa,East Kameng,Arunachal Pradesh
Bilat|East Siang|Arunachal Pradesh,Bilat,East Siang,Arunachal Pradesh
Mebo|East Siang|Arunachal Pradesh,Mebo,East Siang,Arunachal Pradesh
Namsing|East Siang|Arunachal Pradesh,Namsing,East Siang,Arunachal Pradesh
Pasighat|East Siang|Arunachal Pradesh,Pasighat,East Siang,Arunachal Pradesh
Ruksin|East Siang|Arunachal Pradesh,Ruksin,East Siang,Arunachal Pradesh
Sille Oyan|East Siang|Arunachal Pradesh,Sille Oyan,East Siang,Arunachal Pradesh
Dollungmukh|Kamle|Arunachal Pradesh,Dollungmukh,Kamle,Arunachal Pradesh
Gepen Circle|Kamle|Arunachal Pradesh,Gepen Circle,Kamle,Arunachal Pradesh
Kamporijo|Kamle|Arunachal Pradesh,Kamporijo,Kamle,Arunachal Pradesh
Puchi Geko|Kamle|Arunachal Pradesh,Puchi Geko,Kamle,Arunachal Pradesh
Raga|Kamle|Arunachal Pradesh,Raga,Kamle,Arunachal Pradesh
Chambang|Kra Daadi|Arunachal Pradesh,Chambang,Kra Daadi,Arunachal Pradesh
Gangte|Kra Daadi|Arunachal Pradesh,Gangte,Kra Daadi,Arunachal Pradesh
Longding Koling Pipsorang|Kra Daadi|Arunachal Pradesh,Longding Koling Pipsorang,Kra Daadi,Arunachal Pradesh
Palin|Kra Daadi|Arunachal Pradesh,Palin,Kra Daadi,Arunachal Pradesh
Tali|Kra Daadi|Arunachal Pradesh,Tali,Kra Daadi,Arunachal Pradesh
Tarak Lengdi|Kra Daadi|Arunachal Pradesh,Tarak Lengdi,Kra Daadi,Arunachal Pradesh
Yangte|Kra Daadi|Arunachal Pradesh,Yangte,Kra Daadi,Arunachal Pradesh
Damin|Kurung Kumey|Arunachal Pradesh,Damin,Kurung Kumey,Arunachal Pradesh
Koloriang|Kurung Kumey|Arunachal Pradesh,Koloriang,Kurung Kumey,Arunachal Pradesh
Nyapin|Kurung Kumey|Arunachal Pradesh,Nyapin,Kurung Kumey,Arunachal Pradesh
Nyobia Circle|Kurung Kumey|Arunachal Pradesh,Nyobia Circle,Kurung Kumey,Arunachal Pradesh
Parsi Parlo|Kurung Kumey|Arunachal Pradesh,Parsi Parlo,Kurung Kumey,Arunachal Pradesh
Patuk Adc|Kurung Kumey|Arunachal Pradesh,Patuk Adc,Kurung Kumey,Arunachal Pradesh
Phassang|Kurung Kumey|Arunachal Pradesh,Phassang,Kurung Kumey,Arunachal Pradesh
Polosang Circle|Kurung Kumey|Arunachal Pradesh,Polosang Circle,Kurung Kumey,Arunachal Pradesh
Sangram|Kurung Kumey|Arunachal Pradesh,Sangram,Kurung Kumey,Arunachal Pradesh
Sarli|Kurung Kumey|Arunachal Pradesh,Sarli,Kurung Kumey,Arunachal Pradesh
Basar|Lepa Rada|Arunachal Pradesh,Basar,Lepa Rada,Arunachal Pradesh
Daring|Lepa Rada|Arunachal Pradesh,Daring,Lepa Rada,Arunachal Pradesh
Sago|Lepa Rada|Arunachal Pradesh,Sago,Lepa Rada,Arunachal Pradesh
Tirbin|Lepa Rada|Arunachal Pradesh,Tirbin,Lepa Rada,Arunachal Pradesh
Sunpura|Lohit|Arunachal Pradesh,Sunpura,Lohit,Arunachal Pradesh
Tezu|Lohit|Arunachal Pradesh,Tezu,Lohit,Arunachal Pradesh
Wakro|Lohit|Arunachal Pradesh,Wakro,Lohit,Arunachal Pradesh
Kanubari|Longding|Arunachal Pradesh,Kanubari,Longding,Arunachal Pradesh
Lawnu|Longding|Arunachal Pradesh,Lawnu,Longding,Arunachal Pradesh
Longding|Longding|Arunachal Pradesh,Longding,Longding,Arunachal Pradesh
Pangchao|Longding|Arunachal Pradesh,Pangchao,Longding,Arunachal Pradesh
Pumao|Longding|Arunachal Pradesh,Pumao,Longding,Arunachal Pradesh
Wakka|Longding|Arunachal Pradesh,Wakka,Longding,Arunachal Pradesh
Dambuk|Lower Dibang Valley|Arunachal Pradesh,Dambuk,Lower Dibang Valley,Arunachal Pradesh
Desali|Lower Dibang Valley|Arunachal Pradesh,Desali,Lower Dibang Valley,Arunachal Pradesh
Hunli|Lower Dibang Valley|Arunachal Pradesh,Hunli,Lower Dibang Valley,Arunachal Pradesh
Koronu|Lower Dibang Valley|Arunachal Pradesh,Koronu,Lower Dibang Valley,Arunachal Pradesh
Parbuk Sdo|Lower Dibang Valley|Arunachal Pradesh,Parbuk Sdo,Lower Dibang Valley,Arunachal Pradesh
Roing|Lower Dibang Valley|Arunachal Pradesh,Roing,Lower Dibang Valley,Arunachal Pradesh
Tinali Paglam|Lower Dibang Valley|Arunachal Pradesh,Tinali Paglam,Lower Dibang Valley,Arunachal Pradesh
Gensi|Lower Siang|Arunachal Pradesh,Gensi,Lower Siang,Arunachal Pradesh
Kangku|Lower Siang|Arunachal Pradesh,Kangku,Lower Siang,Arunachal Pradesh
Kora|Lower Siang|Arunachal Pradesh,Kora,Lower Siang,Arunachal Pradesh
Koyu|Lower Siang|Arunachal Pradesh,Koyu,Lower Siang,Arunachal Pradesh
Likabali|Lower Siang|Arunachal Pradesh,Likabali,Lower Siang,Arunachal Pradesh
Nari|Lower Siang|Arunachal Pradesh,Nari,Lower Siang,Arunachal Pradesh
New Seren|Lower Siang|Arunachal Pradesh,New Seren,Lower Siang,Arunachal Pradesh
Sibe|Lower Siang|Arunachal Pradesh,Sibe,Lower Siang,Arunachal Pradesh
Deed Circle|Lower Subansiri|Arunachal Pradesh,Deed Circle,Lower Subansiri,Arunachal Pradesh
Old Ziro|Lower Subansiri|Arunachal Pradesh,Old Ziro,Lower Subansiri,Arunachal Pradesh
Pistana|Lower Subansiri|Arunachal Pradesh,Pistana,Lower Subansiri,Arunachal Pradesh
Yachuli|Lower Subansiri|Arunachal Pradesh,Yachuli,Lower Subansiri,Arunachal Pradesh
Yazali|Lower Subansiri|Arunachal Pradesh,Yazali,Lower Subansiri,Arunachal Pradesh
Ziro Sadar|Lower Subansiri|Arunachal Pradesh,Ziro Sadar,Lower Subansiri,Arunachal Pradesh
Chongkham|Namsai|Arunachal Pradesh,Chongkham,Namsai,Arunachal Pradesh
Lathao|Namsai|Arunachal Pradesh,Lathao,Namsai,Arunachal Pradesh
Lekang Circle|Namsai|Arunachal Pradesh,Lekang Circle,Namsai,Arunachal Pradesh
Namsai|Namsai|Arunachal Pradesh,Namsai,Namsai,Arunachal Pradesh
Piyong|Namsai|Arunachal Pradesh,Piyong,Namsai,Arunachal Pradesh
Dissing Passo|Pakke Kessang|Arunachal Pradesh,Dissing Passo,Pakke Kessang,Arunachal Pradesh
Pakke Kessang|Pakke Kessang|Arunachal Pradesh,Pakke Kessang,Pakke Kessang,Arunachal Pradesh
Passa Valley Circle|Pakke Kessang|Arunachal Pradesh,Passa Valley Circle,Pakke Kessang,Arunachal Pradesh
Pizirang Veo|Pakke Kessang|Arunachal Pradesh,Pizirang Veo,Pakke Kessang,Arunachal Pradesh
Seijosa|Pakke Kessang|Arunachal Pradesh,Seijosa,Pakke Kessang,Arunachal Pradesh
Balijan|Papum Pare|Arunachal Pradesh,Balijan,Papum Pare,Arunachal Pradesh
Banderdawa|Papum Pare|Arunachal Pradesh,Banderdawa,Papum Pare,Arunachal Pradesh
Borum|Papum Pare|Arunachal Pradesh,Borum,Papum Pare,Arunachal Pradesh
Doimukh|Papum Pare|Arunachal Pradesh,Doimukh,Papum Pare,Arunachal Pradesh
Gumto|Papum Pare|Arunachal Pradesh,Gumto,Papum Pare,Arunachal Pradesh
Itanagar|Papum Pare|Arunachal Pradesh,Itanagar,Papum Pare,Arunachal Pradesh
Kakoi|Papum Pare|Arunachal Pradesh,Kakoi,Papum Pare,Arunachal Pradesh
Kimin|Papum Pare|Arunachal Pradesh,Kimin,Papum Pare,Arunachal Pradesh
Leporiang|Papum Pare|Arunachal Pradesh,Leporiang,Papum Pare,Arunachal Pradesh
Mengio|Papum Pare|Arunachal Pradesh,Mengio,Papum Pare,Arunachal Pradesh
Naharlagun|Papum Pare|Arunachal Pradesh,Naharlagun,Papum Pare,Arunachal Pradesh
Parang|Papum Pare|Arunachal Pradesh,Parang,Papum Pare,Arunachal Pradesh
Sagalee|Papum Pare|Arunachal Pradesh,Sagalee,Papum Pare,Arunachal Pradesh
Sangdupota Besar Nello|Papum Pare|Arunachal Pradesh,Sangdupota Besar Nello,Papum Pare,Arunachal Pradesh
Silsango Circle|Papum Pare|Arunachal Pradesh,Silsango Circle,Papum Pare,Arunachal Pradesh
Taraso|Papum Pare|Arunachal Pradesh,Taraso,Papum Pare,Arunachal Pradesh
Toru|Papum Pare|Arunachal Pradesh,Toru,Papum Pare,Arunachal Pradesh
Mechuka|Shi Yomi|Arunachal Pradesh,Mechuka,Shi Yomi,Arunachal Pradesh
Monigong|Shi Yomi|Arunachal Pradesh,Monigong,Shi Yomi,Arunachal Pradesh
Pidi|Shi Yomi|Arunachal Pradesh,Pidi,Shi Yomi,Arunachal Pradesh
Tato|Shi Yomi|Arunachal Pradesh,Tato,Shi Yomi,Arunachal Pradesh
Boleng|Siang|Arunachal Pradesh,Boleng,Siang,Arunachal Pradesh
Jomlo Mobuk|Siang|Arunachal Pradesh,Jomlo Mobuk,Siang,Arunachal Pradesh
Kaying|Siang|Arunachal Pradesh,Kaying,Siang,Arunachal Pradesh
Kebang|Siang|Arunachal Pradesh,Kebang,Siang,Arunachal Pradesh
Pangin|Siang|Arunachal Pradesh,Pangin,Siang,Arunachal Pradesh
Payum|Siang|Arunachal Pradesh,Payum,Siang,Arunachal Pradesh
Rebo Perging|Siang|Arunachal Pradesh,Rebo Perging,Siang,Arunachal Pradesh
Riga|Siang|Arunachal Pradesh,Riga,Siang,Arunachal Pradesh
Rumgong|Siang|Arunachal Pradesh,Rumgong,Siang,Arunachal Pradesh
Bongkhar|Tawang|Arunachal Pradesh,Bongkhar,Tawang,Arunachal Pradesh
Dudunghar|Tawang|Arunachal Pradesh,Dudunghar,Tawang,Arunachal Pradesh
Jang|Tawang|Arunachal Pradesh,Jang,Tawang,Arunachal Pradesh
Kitpi Circle|Tawang|Arunachal Pradesh,Kitpi Circle,Tawang,Arunachal Pradesh
Lhou|Tawang|Arunachal Pradesh,Lhou,Tawang,Arunachal Pradesh
Lumla|Tawang|Arunachal Pradesh,Lumla,Tawang,Arunachal Pradesh
Mukto Circle|Tawang|Arunachal Pradesh,Mukto Circle,Tawang,Arunachal Pradesh
Tawang Circle|Tawang|Arunachal Pradesh,Tawang Circle,Tawang,Arunachal Pradesh
Thingbu|Tawang|Arunachal Pradesh,Thingbu,Tawang,Arunachal Pradesh
Zemithang|Tawang|Arunachal Pradesh,Zemithang,Tawang,Arunachal Pradesh
Borduria Circle|Tirap|Arunachal Pradesh,Borduria Circle,Tirap,Arunachal Pradesh
Dadam|Tirap|Arunachal Pradesh,Dadam,Tirap,Arunachal Pradesh
Katang Circle|Tirap|Arunachal Pradesh,Katang Circle,Tirap,Arunachal Pradesh
Khonsa|Tirap|Arunachal Pradesh,Khonsa,Tirap,Arunachal Pradesh
Laju|Tirap|Arunachal Pradesh,Laju,Tirap,Arunachal Pradesh
Longo Circle|Tirap|Arunachal Pradesh,Longo Circle,Tirap,Arunachal Pradesh
Namsang|Tirap|Arunachal Pradesh,Namsang,Tirap,Arunachal Pradesh
Soha|Tirap|Arunachal Pradesh,Soha,Tirap,Arunachal Pradesh
Geku|Upper Siang|Arunachal Pradesh,Geku,Upper Siang,Arunachal Pradesh
Gelling|Upper Siang|Arunachal Pradesh,Gelling,Upper Siang,Arunachal Pradesh
Jengging|Upper Siang|Arunachal Pradesh,Jengging,Upper Siang,Arunachal Pradesh
Katan|Upper Siang|Arunachal Pradesh,Katan,Upper Siang,Arunachal Pradesh
Mariyang|Upper Siang|Arunachal Pradesh,Mariyang,Upper Siang,Arunachal Pradesh
Migging|Upper Siang|Arunachal Pradesh,Migging,Upper Siang,Arunachal Pradesh
Mopom Adipasi|Upper Siang|Arunachal Pradesh,Mopom Adipasi,Upper Siang,Arunachal Pradesh
Palling|Upper Siang|Arunachal Pradesh,Palling,Upper Siang,Arunachal Pradesh
Singa|Upper Siang|Arunachal Pradesh,Singa,Upper Siang,Arunachal Pradesh
Tuting|Upper Siang|Arunachal Pradesh,Tuting,Upper Siang,Arunachal Pradesh
Yingkiong|Upper Siang|Arunachal Pradesh,Yingkiong,Upper Siang,Arunachal Pradesh
Baririjo|Upper Subansiri|Arunachal Pradesh,Baririjo,Upper Subansiri,Arunachal Pradesh
Chetam Peer Yapu|Upper Subansiri|Arunachal Pradesh,Chetam Peer Yapu,Upper Subansiri,Arunachal Pradesh
Daporijo|Upper Subansiri|Arunachal Pradesh,Daporijo,Upper Subansiri,Arunachal Pradesh
Dumporijo|Upper Subansiri|Arunachal Pradesh,Dumporijo,Upper Subansiri,Arunachal Pradesh
Giba|Upper Subansiri|Arunachal Pradesh,Giba,Upper Subansiri,Arunachal Pradesh
Gite Ripa|Upper Subansiri|Arunachal Pradesh,Gite Ripa,Upper Subansiri,Arunachal Pradesh
Gussar|Upper Subansiri|Arunachal Pradesh,Gussar,Upper Subansiri,Arunachal Pradesh
Limeking|Upper Subansiri|Arunachal Pradesh,Limeking,Upper Subansiri,Arunachal Pradesh
Maro|Upper Subansiri|Arunachal Pradesh,Maro,Upper Subansiri,Arunachal Pradesh
Nacho|Upper Subansiri|Arunachal Pradesh,Nacho,Upper Subansiri,Arunachal Pradesh
Nilling Circle|Upper Subansiri|Arunachal Pradesh,Nilling Circle,Upper Subansiri,Arunachal Pradesh
Payeng|Upper Subansiri|Arunachal Pradesh,Payeng,Upper Subansiri,Arunachal Pradesh
Siyum|Upper Subansiri|Arunachal Pradesh,Siyum,Upper Subansiri,Arunachal Pradesh
Taksing|Upper Subansiri|Arunachal Pradesh,Taksing,Upper Subansiri,Arunachal Pradesh
Taliha|Upper Subansiri|Arunachal Pradesh,Taliha,Upper Subansiri,Arunachal Pradesh
Balemu|West Kameng|Arunachal Pradesh,Balemu,West Kameng,Arunachal Pradesh
Bhalukpong|West Kameng|Arunachal Pradesh,Bhalukpong,West Kameng,Arunachal Pradesh
Bomdila|West Kameng|Arunachal Pradesh,Bomdila,West Kameng,Arunachal Pradesh
Buragaon Eac|West Kameng|Arunachal Pradesh,Buragaon Eac,West Kameng,Arunachal Pradesh
Dirang|West Kameng|Arunachal Pradesh,Dirang,West Kameng,Arunachal Pradesh
Jamiri|West Kameng|Arunachal Pradesh,Jamiri,West Kameng,Arunachal Pradesh
Kalaktang|West Kameng|Arunachal Pradesh,Kalaktang,West Kameng,Arunachal Pradesh
Kamengbari Doimara|West Kameng|Arunachal Pradesh,Kamengbari Doimara,West Kameng,Arunachal Pradesh
Nafra|West Kameng|Arunachal Pradesh,Nafra,West Kameng,Arunachal Pradesh
Rupa|West Kameng|Arunachal Pradesh,Rupa,West Kameng,Arunachal Pradesh
Shergaon|West Kameng|Arunachal Pradesh,Shergaon,West Kameng,Arunachal Pradesh
Singchung|West Kameng|Arunachal Pradesh,Singchung,West Kameng,Arunachal Pradesh
Thembang|West Kameng|Arunachal Pradesh,Thembang,West Kameng,Arunachal Pradesh
Thrizino|West Kameng|Arunachal Pradesh,Thrizino,West Kameng,Arunachal Pradesh
Aalo|West Siang|Arunachal Pradesh,Aalo,West Siang,Arunachal Pradesh
Bagra|West Siang|Arunachal Pradesh,Bagra,West Siang,Arunachal Pradesh
Darak|West Siang|Arunachal Pradesh,Darak,West Siang,Arunachal Pradesh
Kamba|West Siang|Arunachal Pradesh,Kamba,West Siang,Arunachal Pradesh
Kombo Circle|West Siang|Arunachal Pradesh,Kombo Circle,West Siang,Arunachal Pradesh
Liromoba|West Siang|Arunachal Pradesh,Liromoba,West Siang,Arunachal Pradesh
Nikte Kodum Circle|West Siang|Arunachal Pradesh,Nikte Kodum Circle,West Siang,Arunachal Pradesh
Yomcha|West Siang|Arunachal Pradesh,Yomcha,West Siang,Arunachal Pradesh
Bajali Part|Bajali|Assam,Bajali Part,Bajali,Assam
Baganpara Part|Baksa|Assam,Baganpara Part,Baksa,Assam
Barama Part|Baksa|Assam,Barama Part,Baksa,Assam
Baska|Baksa|Assam,Baska,Baksa,Assam
Goreswar Part|Baksa|Assam,Goreswar Part,Baksa,Assam
Jalah Part|Baksa|Assam,Jalah Part,Baksa,Assam
Baghbor|Barpeta|Assam,Baghbor,Barpeta,Assam
Barnagar Part|Barpeta|Assam,Barnagar Part,Barpeta,Assam
Barpeta|Barpeta|Assam,Barpeta,Barpeta,Assam
Chenga|Barpeta|Assam,Chenga,Barpeta,Assam
Kalgachia|Barpeta|Assam,Kalgachia,Barpeta,Assam
Sarthebari|Barpeta|Assam,Sarthebari,Barpeta,Assam
Sarupeta Part|Barpeta|Assam,Sarupeta Part,Barpeta,Assam
Biswanath|Biswanath|Assam,Biswanath,Biswanath,Assam
Gohpur|Biswanath|Assam,Gohpur,Biswanath,Assam
Helem|Biswanath|Assam,Helem,Biswanath,Assam
Na Duar|Biswanath|Assam,Na Duar,Biswanath,Assam
Boitamari|Bongaigaon|Assam,Boitamari,Bongaigaon,Assam
Bongaigaon Part|Bongaigaon|Assam,Bongaigaon Part,Bongaigaon,Assam
Dangtal Revenue Circle|Bongaigaon|Assam,Dangtal Revenue Circle,Bongaigaon,Assam
Srijangram|Bongaigaon|Assam,Srijangram,Bongaigaon,Assam
Katigora|Cachar|Assam,Katigora,Cachar,Assam
Lakhipur|Cachar|Assam,Lakhipur,Cachar,Assam
Silchar|Cachar|Assam,Silchar,Cachar,Assam
Sonai|Cachar|Assam,Sonai,Cachar,Assam
Udarbond|Cachar|Assam,Udarbond,Cachar,Assam
Mahmora|Charaideo|Assam,Mahmora,Charaideo,Assam
Sapekhati|Charaideo|Assam,Sapekhati,Charaideo,Assam
Sonari|Charaideo|Assam,Sonari,Charaideo,Assam
Bengtol|Chirang|Assam,Bengtol,Chirang,Assam
Bijni Part|Chirang|Assam,Bijni Part,Chirang,Assam
Sidli Part|Chirang|Assam,Sidli Part,Chirang,Assam
Dalgaon Part|Darrang|Assam,Dalgaon Part,Darrang,Assam
Mangaldoi Part|Darrang|Assam,Mangaldoi Part,Darrang,Assam
Pathorighat Part|Darrang|Assam,Pathorighat Part,Darrang,Assam
Sipajhar|Darrang|Assam,Sipajhar,Darrang,Assam
Dhemaji|Dhemaji|Assam,Dhemaji,Dhemaji,Assam
Gogamukh|Dhemaji|Assam,Gogamukh,Dhemaji,Assam
Jonai|Dhemaji|Assam,Jonai,Dhemaji,Assam
Sissibargaon|Dhemaji|Assam,Sissibargaon,Dhemaji,Assam
Agamoni|Dhubri|Assam,Agamoni,Dhubri,Assam
Athani|Dhubri|Assam,Athani,Dhubri,Assam
Bilasipara Part|Dhubri|Assam,Bilasipara Part,Dhubri,Assam
Chapar Part|Dhubri|Assam,Chapar Part,Dhubri,Assam
Dhubri Part|Dhubri|Assam,Dhubri Part,Dhubri,Assam
Gauripur|Dhubri|Assam,Gauripur,Dhubri,Assam
Golokganj Part|Dhubri|Assam,Golokganj Part,Dhubri,Assam
Chabua|Dibrugarh|Assam,Chabua,Dibrugarh,Assam
Dibrugarh East|Dibrugarh|Assam,Dibrugarh East,Dibrugarh,Assam
Dibrugarh West|Dibrugarh|Assam,Dibrugarh West,Dibrugarh,Assam
Moran|Dibrugarh|Assam,Moran,Dibrugarh,Assam
Naharkatiya|Dibrugarh|Assam,Naharkatiya,Dibrugarh,Assam
Tengakhat|Dibrugarh|Assam,Tengakhat,Dibrugarh,Assam
Tingkhong|Dibrugarh|Assam,Tingkhong,Dibrugarh,Assam
Haflong|Dima Hasao|Assam,Haflong,Dima Hasao,Assam
Mahur|Dima Hasao|Assam,Mahur,Dima Hasao,Assam
Maibong|Dima Hasao|Assam,Maibong,Dima Hasao,Assam
Umrangso|Dima Hasao|Assam,Umrangso,Dima Hasao,Assam
Balijana|Goalpara|Assam,Balijana,Goalpara,Assam
Dudhnai|Goalpara|Assam,Dudhnai,Goalpara,Assam
Lakhipur|Goalpara|Assam,Lakhipur,Goalpara,Assam
Matia|Goalpara|Assam,Matia,Goalpara,Assam
Rangjuli|Goalpara|Assam,Rangjuli,Goalpara,Assam
Bokakhat|Golaghat|Assam,Bokakhat,Golaghat,Assam
Dergaon|Golaghat|Assam,Dergaon,Golaghat,Assam
Golaghat|Golaghat|Assam,Golaghat,Golaghat,Assam
Khumtai|Golaghat|Assam,Khumtai,Golaghat,Assam
Morangi|Golaghat|Assam,Morangi,Golaghat,Assam
