District_PK,District,State
Mansa|Punjab,Mansa,Punjab
Moga|Punjab,Moga,Punjab
Pathankot|Punjab,Pathankot,Punjab
Patiala|Punjab,Patiala,Punjab
Rupnagar|Punjab,Rupnagar,Punjab
Sangrur|Punjab,Sangrur,Punjab
SAS Nagar|Punjab,SAS Nagar,Punjab
Shaheed Bhagat Singh Nagar|Punjab,Shaheed Bhagat Singh Nagar,Punjab
Sri Muktsar Sahib|Punjab,Sri Muktsar Sahib,Punjab
Tarn Taran|Punjab,Tarn Taran,Punjab
Ajmer|Rajasthan,Ajmer,Rajasthan
Alwar|Rajasthan,Alwar,Rajasthan
Banswara|Rajasthan,Banswara,Rajasthan
Baran|Rajasthan,Baran,Rajasthan
Barmer|Rajasthan,Barmer,Rajasthan
Bharatpur|Rajasthan,Bharatpur,Rajasthan
Bhilwara|Rajasthan,Bhilwara,Rajasthan
Bikaner|Rajasthan,Bikaner,Rajasthan
Bundi|Rajasthan,Bundi,Rajasthan
Chittorgarh|Rajasthan,Chittorgarh,Rajasthan
Churu|Rajasthan,Churu,Rajasthan
Dausa|Rajasthan,Dausa,Rajasthan
Dholpur|Rajasthan,Dholpur,Rajasthan
Dungarpur|Rajasthan,Dungarpur,Rajasthan
Hanumangarh|Rajasthan,Hanumangarh,Rajasthan
Jaipur|Rajasthan,Jaipur,Rajasthan
Jaisalmer|Rajasthan,Jaisalmer,Rajasthan
Jalore|Rajasthan,Jalore,Rajasthan
Jhalawar|Rajasthan,Jhalawar,Rajasthan
Jhunjhunu|Rajasthan,Jhunjhunu,Rajasthan
Jodhpur|Rajasthan,Jodhpur,Rajasthan
Karauli|Rajasthan,Karauli,Rajasthan
Kota|Rajasthan,Kota,Rajasthan
Nagaur|Rajasthan,Nagaur,Rajasthan
Pali|Rajasthan,Pali,Rajasthan
Pratapgarh|Rajasthan,Pratapgarh,Rajasthan
Rajsamand|Rajasthan,Rajsamand,Rajasthan
Sawai Madhopur|Rajasthan,Sawai Madhopur,Rajasthan
Sikar|Rajasthan,Sikar,Rajasthan
Sirohi|Rajasthan,Sirohi,Rajasthan
Sri Ganganagar|Rajasthan,Sri Ganganagar,Rajasthan
Tonk|Rajasthan,Tonk,Rajasthan
Udaipur|Rajasthan,Udaipur,Rajasthan
Gangtok|Sikkim,Gangtok,Sikkim
Gyalshing|Sikkim,Gyalshing,Sikkim
Mangan|Sikkim,Mangan,Sikkim
Namchi|Sikkim,Namchi,Sikkim
Pakyong|Sikkim,Pakyong,Sikkim
Soreng|Sikkim,Soreng,Sikkim
Ariyalur|Tamil Nadu,Ariyalur,Tamil Nadu
Chengalpattu|Tamil Nadu,Chengalpattu,Tamil Nadu
Chennai|Tamil Nadu,Chennai,Tamil Nadu
Coimbatore|Tamil Nadu,Coimbatore,Tamil Nadu
Cuddalore|Tamil Nadu,Cuddalore,Tamil Nadu
Dharmapuri|Tamil Nadu,Dharmapuri,Tamil Nadu
Dindigul|Tamil Nadu,Dindigul,Tamil Nadu
Erode|Tamil Nadu,Erode,Tamil Nadu
Kallakurichi|Tamil Nadu,Kallakurichi,Tamil Nadu
Kancheepuram|Tamil Nadu,Kancheepuram,Tamil Nadu
Kanniyakumari|Tamil Nadu,Kanniyakumari,Tamil Nadu
Karur|Tamil Nadu,Karur,Tamil Nadu
Krishnagiri|Tamil Nadu,Krishnagiri,Tamil Nadu
Madurai|Tamil Nadu,Madurai,Tamil Nadu
Mayiladuthurai|Tamil Nadu,Mayiladuthurai,Tamil Nadu
Nagapattinam|Tamil Nadu,Nagapattinam,Tamil Nadu
Namakkal|Tamil Nadu,Namakkal,Tamil Nadu
Perambalur|Tamil Nadu,Perambalur,Tamil Nadu
Pudukkottai|Tamil Nadu,Pudukkottai,Tamil Nadu
Ramanathapuram|Tamil Nadu,Ramanathapuram,Tamil Nadu
Ranipet|Tamil Nadu,Ranipet,Tamil Nadu
Salem|Tamil Nadu,Salem,Tamil Nadu
Sivaganga|Tamil Nadu,Sivaganga,Tamil Nadu
Tenkasi|Tamil Nadu,Tenkasi,Tamil Nadu
Thanjavur|Tamil Nadu,Thanjavur,Tamil Nadu
The Nilgiris|Tamil Nadu,The Nilgiris,Tamil Nadu
Theni|Tamil Nadu,Theni,Tamil Nadu
Thoothukudi|Tamil Nadu,Thoothukudi,Tamil Nadu
Tiruchirappalli|Tamil Nadu,Tiruchirappalli,Tamil Nadu
Tirunelveli|Tamil Nadu,Tirunelveli,Tamil Nadu
Tirupathur|Tamil Nadu,Tirupathur,Tamil Nadu
Tiruppur|Tamil Nadu,Tiruppur,Tamil Nadu
Tiruvallur|Tamil Nadu,Tiruvallur,Tamil Nadu
Tiruvannamalai|Tamil Nadu,Tiruvannamalai,Tamil Nadu
Tiruvarur|Tamil Nadu,Tiruvarur,Tamil Nadu
Vellore|Tamil Nadu,Vellore,Tamil Nadu
Viluppuram|Tamil Nadu,Viluppuram,Tamil Nadu
Virudhunagar|Tamil Nadu,Virudhunagar,Tamil Nadu
Adilabad|Telangana,Adilabad,Telangana
Bhadradri Kothagudem|Telangana,Bhadradri Kothagudem,Telangana
Hanumakonda|Telangana,Hanumakonda,Telangana
Hyderabad|Telangana,Hyderabad,Telangana
Jagtial|Telangana,Jagtial,Telangana
Jangaon|Telangana,Jangaon,Telangana
Jayashankar Bhupalpally|Telangana,Jayashankar Bhupalpally,Telangana
Jogulamba Gadwal|Telangana,Jogulamba Gadwal,Telangana
Kamareddy|Telangana,Kamareddy,Telangana
Karimnagar|Telangana,Karimnagar,Telangana
Khammam|Telangana,Khammam,Telangana
Kumuram Bheem Asifabad|Telangana,Kumuram Bheem Asifabad,Telangana
Mahabubabad|Telangana,Mahabubabad,Telangana
Mahabubnagar|Telangana,Mahabubnagar,Telangana
Mancherial|Telangana,Mancherial,Telangana
Medak|Telangana,Medak,Telangana
Medchal Malkajgiri|Telangana,Medchal Malkajgiri,Telangana
Mulugu|Telangana,Mulugu,Telangana
Nagarkurnool|Telangana,Nagarkurnool,Telangana
Nalgonda|Telangana,Nalgonda,Telangana
Narayanpet|Telangana,Narayanpet,Telangana
Nirmal|Telangana,Nirmal,Telangana
Nizamabad|Telangana,Nizamabad,Telangana
Peddapalli|Telangana,Peddapalli,Telangana
Rajanna Sircilla|Telangana,Rajanna Sircilla,Telangana
Rangareddy|Telangana,Rangareddy,Telangana
Sangareddy|Telangana,Sangareddy,Telangana
Siddipet|Telangana,Siddipet,Telangana
Suryapet|Telangana,Suryapet,Telangana
Vikarabad|Telangana,Vikarabad,Telangana
Wanaparthy|Telangana,Wanaparthy,Telangana
Warangal|Telangana,Warangal,Telangana
Yadadri Bhuvanagiri|Telangana,Yadadri Bhuvanagiri,Telangana
Dhalai|Tripura,Dhalai,Tripura
Gomati|Tripura,Gomati,Tripura
Khowai|Tripura,Khowai,Tripura
North Tripura|Tripura,North Tripura,Tripura
Sepahijala|Tripura,Sepahijala,Tripura
South Tripura|Tripura,South Tripura,Tripura
Unakoti|Tripura,Unakoti,Tripura
West Tripura|Tripura,West Tripura,Tripura
Agra|Uttar Pradesh,Agra,Uttar Pradesh
Aligarh|Uttar Pradesh,Aligarh,Uttar Pradesh
Ambedkar Nagar|Uttar Pradesh,Ambedkar Nagar,Uttar Pradesh
Amethi|Uttar Pradesh,Amethi,Uttar Pradesh
Amroha|Uttar Pradesh,Amroha,Uttar Pradesh
Auraiya|Uttar Pradesh,Auraiya,Uttar Pradesh
Ayodhya|Uttar Pradesh,Ayodhya,Uttar Pradesh
Azamgarh|Uttar Pradesh,Azamgarh,Uttar Pradesh
Bagpat|Uttar Pradesh,Bagpat,Uttar Pradesh
Bahraich|Uttar Pradesh,Bahraich,Uttar Pradesh
Ballia|Uttar Pradesh,Ballia,Uttar Pradesh
Balrampur|Uttar Pradesh,Balrampur,Uttar Pradesh
Banda|Uttar Pradesh,Banda,Uttar Pradesh
Barabanki|Uttar Pradesh,Barabanki,Uttar Pradesh
Bareilly|Uttar Pradesh,Bareilly,Uttar Pradesh
Basti|Uttar Pradesh,Basti,Uttar Pradesh
Bhadohi|Uttar Pradesh,Bhadohi,Uttar Pradesh
Bijnor|Uttar Pradesh,Bijnor,Uttar Pradesh
Budaun|Uttar Pradesh,Budaun,Uttar Pradesh
Bulandshahr|Uttar Pradesh,Bulandshahr,Uttar Pradesh
Chandauli|Uttar Pradesh,Chandauli,Uttar Pradesh
Chitrakoot|Uttar Pradesh,Chitrakoot,Uttar Pradesh
Deoria|Uttar Pradesh,Deoria,Uttar Pradesh
Etah|Uttar Pradesh,Etah,Uttar Pradesh
Etawah|Uttar Pradesh,Etawah,Uttar Pradesh
Farrukhabad|Uttar Pradesh,Farrukhabad,Uttar Pradesh
Fatehpur|Uttar Pradesh,Fatehpur,Uttar Pradesh
Firozabad|Uttar Pradesh,Firozabad,Uttar Pradesh
Gautambuddha Nagar|Uttar Pradesh,Gautambuddha Nagar,Uttar Pradesh
Ghaziabad|Uttar Pradesh,Ghaziabad,Uttar Pradesh
Ghazipur|Uttar Pradesh,Ghazipur,Uttar Pradesh
Gonda|Uttar Pradesh,Gonda,Uttar Pradesh
Gorakhpur|Uttar Pradesh,Gorakhpur,Uttar Pradesh
Hamirpur|Uttar Pradesh,Hamirpur,Uttar Pradesh
Hapur|Uttar Pradesh,Hapur,Uttar Pradesh
Hardoi|Uttar Pradesh,Hardoi,Uttar Pradesh
Hathras|Uttar Pradesh,Hathras,Uttar Pradesh
Jalaun|Uttar Pradesh,Jalaun,Uttar Pradesh
Jaunpur|Uttar Pradesh,Jaunpur,Uttar Pradesh
Jhansi|Uttar Pradesh,Jhansi,Uttar Pradesh
Kannauj|Uttar Pradesh,Kannauj,Uttar Pradesh
Kanpur Dehat|Uttar Pradesh,Kanpur Dehat,Uttar Pradesh
Kanpur Nagar|Uttar Pradesh,Kanpur Nagar,Uttar Pradesh
Kasganj|Uttar Pradesh,Kasganj,Uttar Pradesh
Kaushambi|Uttar Pradesh,Kaushambi,Uttar Pradesh
Kushinagar|Uttar Pradesh,Kushinagar,Uttar Pradesh
Lakhimpur Kheri|Uttar Pradesh,Lakhimpur Kheri,Uttar Pradesh
Lalitpur|Uttar Pradesh,Lalitpur,Uttar Pradesh
Lucknow|Uttar Pradesh,Lucknow,Uttar Pradesh
Maharajganj|Uttar Pradesh,Maharajganj,Uttar Pradesh
Mahoba|Uttar Pradesh,Mahoba,Uttar Pradesh
Mainpuri|Uttar Pradesh,Mainpuri,Uttar Pradesh
Mathura|Uttar Pradesh,Mathura,Uttar Pradesh
Mau|Uttar Pradesh,Mau,Uttar Pradesh
Meerut|Uttar Pradesh,Meerut,Uttar Pradesh
Mirzapur|Uttar Pradesh,Mirzapur,Uttar Pradesh
Moradabad|Uttar Pradesh,Moradabad,Uttar Pradesh
Muzaffarnagar|Uttar Pradesh,Muzaffarnagar,Uttar Pradesh
Pilibhit|Uttar Pradesh,Pilibhit,Uttar Pradesh
Pratapgarh|Uttar Pradesh,Pratapgarh,Uttar Pradesh
Prayagraj|Uttar Pradesh,Prayagraj,Uttar Pradesh
Raebareli|Uttar Pradesh,Raebareli,Uttar Pradesh
Rampur|Uttar Pradesh,Rampur,Uttar Pradesh
Saharanpur|Uttar Pradesh,Saharanpur,Uttar Pradesh
Sambhal|Uttar Pradesh,Sambhal,Uttar Pradesh
Sant Kabir Nagar|Uttar Pradesh,Sant Kabir Nagar,Uttar Pradesh
Shahjahanpur|Uttar Pradesh,Shahjahanpur,Uttar Pradesh
Shamli|Uttar Pradesh,Shamli,Uttar Pradesh
Shravasti|Uttar Pradesh,Shravasti,Uttar Pradesh
Siddharthnagar|Uttar Pradesh,Siddharthnagar,Uttar Pradesh
Sitapur|Uttar Pradesh,Sitapur,Uttar Pradesh
Sonbhadra|Uttar Pradesh,Sonbhadra,Uttar Pradesh
Sultanpur|Uttar Pradesh,Sultanpur,Uttar Pradesh
Unnao|Uttar Pradesh,Unnao,Uttar Pradesh
Varanasi|Uttar Pradesh,Varanasi,Uttar Pradesh
Almora|Uttarakhand,Almora,Uttarakhand
Bageshwar|Uttarakhand,Bageshwar,Uttarakhand
Chamoli|Uttarakhand,Chamoli,Uttarakhand
Champawat|Uttarakhand,Champawat,Uttarakhand
Dehradun|Uttarakhand,Dehradun,Uttarakhand
Haridwar|Uttarakhand,Haridwar,Uttarakhand
Nainital|Uttarakhand,Nainital,Uttarakhand
Pauri Garhwal|Uttarakhand,Pauri Garhwal,Uttarakhand
Pithoragarh|Uttarakhand,Pithoragarh,Uttarakhand
Rudraprayag|Uttarakhand,Rudraprayag,Uttarakhand
Tehri Garhwal|Uttarakhand,Tehri Garhwal,Uttarakhand
Udham Singh Nagar|Uttarakhand,Udham Singh Nagar,Uttarakhand
Uttarkashi|Uttarakhand,Uttarkashi,Uttarakhand
Alipurduar|West Bengal,Alipurduar,West Bengal
Bankura|West Bengal,Bankura,West Bengal
Birbhum|West Bengal,Birbhum,West Bengal
Cooch Behar|West Bengal,Cooch Behar,West Bengal
Dakshin Dinajpur|West Bengal,Dakshin Dinajpur,West Bengal
Darjeeling|West Bengal,Darjeeling,West Bengal
Hooghly|West Bengal,Hooghly,West Bengal
Howrah|West Bengal,Howrah,West Bengal
Jalpaiguri|West Bengal,Jalpaiguri,West Bengal
Jhargram|West Bengal,Jhargram,West Bengal
Kalimpong|West Bengal,Kalimpong,West Bengal
Malda|West Bengal,Malda,West Bengal
Murshidabad|West Bengal,Murshidabad,West Bengal
Nadia|West Bengal,Nadia,West Bengal
North Twenty Four Parganas|West Bengal,North Twenty Four Parganas,West Bengal
Paschim Bardhaman|West Bengal,Paschim Bardhaman,West Bengal
Paschim Medinipur|West Bengal,Paschim Medinipur,West Bengal
Purba Bardhaman|West Bengal,Purba Bardhaman,West Bengal
Purba Medinipur|West Bengal,Purba Medinipur,West Bengal
Purulia|West Bengal,Purulia,West Bengal
South Twenty Four Parganas|West Bengal,South Twenty Four Parganas,West Bengal
Uttar Dinajpur|West Bengal,Uttar Dinajpur,West Bengal
New Delhi|Delhi,New Delhi,Delhi
Shahdara|Delhi,Shahdara,Delhi
South East Delhi|Delhi,South East Delhi,Delhi
Mahe|Puducherry,Mahe,Puducherry
Yanam|Puducherry,Yanam,Puducherry
Kolkata|West Bengal,Kolkata,West Bengal
